"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","FocalID","BehaviorStart","Actor","Behavior","Recipient","BehaviorType","Involved","Against","Start/End","Part","comment","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","focal_start_timeStamp","focal_end_timeStamp"
2022-02-08,"06:19:20","11:08:36","11:14:31","abort","Wil Esteban;Sarah","Wil Esteban","Tenorio","T","PAL","11:09:11","PAL","Resting State","PAL",NA,NA,NA,NA,NA,NA,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-08,06:19:20","2022-02-08,16:02:46","2022-02-08,11:08:36","2022-02-08,11:14:31"
2022-02-08,"06:19:20","11:08:36","11:14:31","abort","Wil Esteban;Sarah","Wil Esteban","Tenorio","T","PAL","11:09:15","TAM","Leave","PAL",NA,NA,NA,NA,NA,NA,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-08,06:19:20","2022-02-08,16:02:46","2022-02-08,11:08:36","2022-02-08,11:14:31"
2022-02-08,"06:19:20","11:08:36","11:14:31","abort","Wil Esteban;Sarah","Wil Esteban","Tenorio","T","PAL","11:09:46","TEL","Leave","PAL",NA,NA,NA,NA,NA,NA,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-08,06:19:20","2022-02-08,16:02:46","2022-02-08,11:08:36","2022-02-08,11:14:31"
2022-02-08,"06:19:20","11:08:36","11:14:31","abort","Wil Esteban;Sarah","Wil Esteban","Tenorio","T","PAL","11:10:04","PAL","Scratch","PAL",NA,NA,NA,NA,NA,NA,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-08,06:19:20","2022-02-08,16:02:46","2022-02-08,11:08:36","2022-02-08,11:14:31"
2022-02-08,"06:19:20","11:08:36","11:14:31","abort","Wil Esteban;Sarah","Wil Esteban","Tenorio","T","PAL","11:10:10","PAL","Scratch","PAL",NA,NA,NA,NA,NA,NA,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-08,06:19:20","2022-02-08,16:02:46","2022-02-08,11:08:36","2022-02-08,11:14:31"
2022-02-08,"06:19:20","11:08:36","11:14:31","abort","Wil Esteban;Sarah","Wil Esteban","Tenorio","T","PAL","11:10:24","PAL","Groom","PAL",NA,NA,NA,"INSTANT",NA,NA,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-08,06:19:20","2022-02-08,16:02:46","2022-02-08,11:08:36","2022-02-08,11:14:31"
2022-02-08,"06:19:20","11:08:36","11:14:31","abort","Wil Esteban;Sarah","Wil Esteban","Tenorio","T","PAL","11:10:37","PAL","Scratch","PAL",NA,NA,NA,NA,NA,NA,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-08,06:19:20","2022-02-08,16:02:46","2022-02-08,11:08:36","2022-02-08,11:14:31"
2022-02-08,"06:19:20","11:08:36","11:14:31","abort","Wil Esteban;Sarah","Wil Esteban","Tenorio","T","PAL","11:12:08","PAL","Approach","TEL",NA,NA,NA,NA,NA,NA,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-08,06:19:20","2022-02-08,16:02:46","2022-02-08,11:08:36","2022-02-08,11:14:31"
2022-02-21,"13:10:46","13:39:39","13:46:38","abort","Wil Esteban;Lev;Sarah","Lev","Tenorio","T","PUC","13:40:17","PUC","Foraging State","PUC",NA,NA,NA,NA,NA,NA,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-21,13:10:46",NA,"2022-02-21,13:39:39","2022-02-21,13:46:38"
2022-02-21,"13:10:46","13:39:39","13:46:38","abort","Wil Esteban;Lev;Sarah","Lev","Tenorio","T","PUC","13:40:28","PUC","Eat","PUC",NA,NA,NA,NA,"Animal",NA,"7AE508F8-20A6-4E59-9809-42859598EEA8","v4.0","v4.0","2022-02-21,13:10:46",NA,"2022-02-21,13:39:39","2022-02-21,13:46:38"
