"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","FocalID","BehaviorStart","Actor","Behavior","Recipient","BehaviorType","Involved","Against","Start/End","Part","comment","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","focal_start_timeStamp","focal_end_timeStamp"
2023-06-12,"13:31:55","16:45:56","16:52:16","abort","Juan Carlos;Other","Juan Carlos;Other","Alajuela","P","PIM","16:46:21","PIM","Foraging State","PIM",NA,NA,NA,NA,NA,NA,"41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-12,13:31:55","2023-06-12,17:41:08","2023-06-12,16:45:56","2023-06-12,16:52:16"
2023-06-12,"13:31:55","16:45:56","16:52:16","abort","Juan Carlos;Other","Juan Carlos;Other","Alajuela","P","PIM","16:46:27","PIM","Defecate","PIM",NA,NA,NA,NA,NA,NA,"41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-12,13:31:55","2023-06-12,17:41:08","2023-06-12,16:45:56","2023-06-12,16:52:16"
2023-06-12,"13:31:55","16:45:56","16:52:16","abort","Juan Carlos;Other","Juan Carlos;Other","Alajuela","P","PIM","16:46:36","PIM","Vigilant","PIM",NA,NA,NA,"INSTANT",NA,NA,"41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-12,13:31:55","2023-06-12,17:41:08","2023-06-12,16:45:56","2023-06-12,16:52:16"
2023-06-12,"13:31:55","16:45:56","16:52:16","abort","Juan Carlos;Other","Juan Carlos;Other","Alajuela","P","PIM","16:46:43","PIM","Look At","OBS",NA,NA,NA,NA,NA,NA,"41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-12,13:31:55","2023-06-12,17:41:08","2023-06-12,16:45:56","2023-06-12,16:52:16"
2023-06-12,"13:31:55","16:45:56","16:52:16","abort","Juan Carlos;Other","Juan Carlos;Other","Alajuela","P","PIM","16:46:58","PIM","Travel State","PIM",NA,NA,NA,NA,NA,NA,"41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-12,13:31:55","2023-06-12,17:41:08","2023-06-12,16:45:56","2023-06-12,16:52:16"
2023-06-12,"13:31:55","16:45:56","16:52:16","abort","Juan Carlos;Other","Juan Carlos;Other","Alajuela","P","PIM","16:47:01","PIM","Vigilant","PIM",NA,NA,NA,"INSTANT",NA,NA,"41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-12,13:31:55","2023-06-12,17:41:08","2023-06-12,16:45:56","2023-06-12,16:52:16"
2023-06-12,"13:31:55","16:45:56","16:52:16","abort","Juan Carlos;Other","Juan Carlos;Other","Alajuela","P","PIM","16:47:09","PIM","Look At","OBS",NA,NA,NA,NA,NA,NA,"41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-12,13:31:55","2023-06-12,17:41:08","2023-06-12,16:45:56","2023-06-12,16:52:16"
2023-06-12,"13:31:55","16:45:56","16:52:16","abort","Juan Carlos;Other","Juan Carlos;Other","Alajuela","P","PIM","16:47:35","PIM","Foraging State","PIM",NA,NA,NA,NA,NA,NA,"41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-12,13:31:55","2023-06-12,17:41:08","2023-06-12,16:45:56","2023-06-12,16:52:16"
2023-06-12,"13:31:55","16:45:56","16:52:16","abort","Juan Carlos;Other","Juan Carlos;Other","Alajuela","P","PIM","16:47:47","PIM","Travel State","PIM",NA,NA,NA,NA,NA,NA,"41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-12,13:31:55","2023-06-12,17:41:08","2023-06-12,16:45:56","2023-06-12,16:52:16"
2023-06-12,"13:31:55","16:45:56","16:52:16","abort","Juan Carlos;Other","Juan Carlos;Other","Alajuela","P","PIM","16:48:22","PIM","Urinate","PIM",NA,NA,NA,NA,NA,NA,"41798043-2BB6-4FD7-8855-D3C974EDDFCA","v2.19.23","2.19.23","2023-06-12,13:31:55","2023-06-12,17:41:08","2023-06-12,16:45:56","2023-06-12,16:52:16"
