"Date","SessionStart","ScanStart","Type","Observer","Recorder","DeviceName","Group","GroupBehavior","GroupVisibility","ScanID","ScanBehavior","ScanBehaviorType","InvolvedID","x_position","y_position","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","focal_start_timeStamp","scan_timeStamp"
2020-03-02,"15:22:48","15:23:16","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Foraging - Tree","26 - 50% Visible","THI","FORAGE","Tree",NA,0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:23:16","2020-03-02,15:23:16"
2020-03-02,"15:22:48","15:23:44","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","TEN","SOCIAL","Play","THO;TIN",0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:23:44","2020-03-02,15:23:44"
2020-03-02,"15:22:48","15:23:44","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","TOT",NA,NA,NA,-2.155932,-0.2847458,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:23:44","2020-03-02,15:23:44"
2020-03-02,"15:22:48","15:23:44","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","TIN",NA,NA,NA,-0.08135593,-0.06101695,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:23:44","2020-03-02,15:23:44"
2020-03-02,"15:22:48","15:23:44","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","THO",NA,NA,NA,0.06101695,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:23:44","2020-03-02,15:23:44"
2020-03-02,"15:22:48","15:24:22","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","TIN","SOCIAL","Play","TEN;THO",0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:24:22","2020-03-02,15:24:22"
2020-03-02,"15:22:48","15:24:22","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","THO",NA,NA,NA,0.2644068,-0.2440678,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:24:22","2020-03-02,15:24:22"
2020-03-02,"15:22:48","15:24:22","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","TEN",NA,NA,NA,0.3254237,-0.5694915,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:24:22","2020-03-02,15:24:22"
2020-03-02,"15:22:48","15:24:22","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","TOT",NA,NA,NA,-1.779661,-0.07118644,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:24:22","2020-03-02,15:24:22"
2020-03-02,"15:22:48","15:24:54","group scan","Sophia;Evan","Sophia;Evan","Diana","T","Socializing","51 - 75% Visible","THO","SOCIAL","Play","TEN;TIN",0,0,"F6A3E839-B990-4447-9E3F-DD728B1B335D","v3.3","v3.9","2020-03-02,15:22:48",NA,"2020-03-02,15:24:54","2020-03-02,15:24:54"
