"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","UniqueFocalCode","ScanStart","GroupBehavior","GroupVisibility","ScanID","ScanBehavior","ScanBehaviorType","InvolvedID","x_position","y_position","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","scan_timeStamp"
2021-06-22,"05:48:07","10:39:33","10:49:33","focal","Alex;Other","Alex","Jane","T","TEN_2021-06-22,10:39:33","10:39:33","Foraging - Tree","26 - 50% Visible","TEN","FORAGE","Tree",NA,0,0,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-06-22,05:48:07","2021-06-22,18:21:10","2021-06-22,10:39:33"
2021-06-22,"05:48:07","10:39:33","10:49:33","focal","Alex;Other","Alex","Jane","T","TEN_2021-06-22,10:39:33","10:39:33","Foraging - Tree","26 - 50% Visible","TIN",NA,NA,NA,-2.155932188,0.020338982,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-06-22,05:48:07","2021-06-22,18:21:10","2021-06-22,10:39:33"
2021-06-22,"05:48:07","10:39:33","10:49:33","focal","Alex;Other","Alex","Jane","T","TEN_2021-06-22,10:39:33","10:39:33","Foraging - Tree","26 - 50% Visible","TRU",NA,NA,NA,2.155932188,0.437288105,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-06-22,05:48:07","2021-06-22,18:21:10","2021-06-22,10:39:33"
2021-06-22,"05:48:07","10:39:33","10:49:33","focal","Alex;Other","Alex","Jane","T","TEN_2021-06-22,10:39:33","10:39:33","Foraging - Tree","26 - 50% Visible","TIQ",NA,NA,NA,2.135593176,0.325423717,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-06-22,05:48:07","2021-06-22,18:21:10","2021-06-22,10:39:33"
2021-06-22,"05:48:07","10:39:33","10:49:33","focal","Alex;Other","Alex","Jane","T","TEN_2021-06-22,10:39:33","10:44:33","Resting","26 - 50% Visible","TEN","FORAGE","Tree",NA,0,0,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-06-22,05:48:07","2021-06-22,18:21:10","2021-06-22,10:44:33"
2021-06-22,"05:48:07","10:39:33","10:49:33","focal","Alex;Other","Alex","Jane","T","TEN_2021-06-22,10:39:33","10:44:33","Resting","26 - 50% Visible","TIN",NA,NA,NA,-0.833898306,0.213559315,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-06-22,05:48:07","2021-06-22,18:21:10","2021-06-22,10:44:33"
2021-06-22,"05:48:07","10:39:33","10:49:33","focal","Alex;Other","Alex","Jane","T","TEN_2021-06-22,10:39:33","10:44:33","Resting","26 - 50% Visible","TIC",NA,NA,NA,-2.867796421,4.484745502,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-06-22,05:48:07","2021-06-22,18:21:10","2021-06-22,10:44:33"
2021-06-22,"05:48:07","10:39:33","10:49:33","focal","Alex;Other","Alex","Jane","T","TEN_2021-06-22,10:39:33","10:44:33","Resting","26 - 50% Visible","TRU",NA,NA,NA,-4.515254021,3.132203341,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-06-22,05:48:07","2021-06-22,18:21:10","2021-06-22,10:44:33"
2021-06-22,"05:48:07","10:39:33","10:49:33","focal","Alex;Other","Alex","Jane","T","TEN_2021-06-22,10:39:33","10:44:33","Resting","26 - 50% Visible","TIQ",NA,NA,NA,-4.515254021,3.193220139,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-06-22,05:48:07","2021-06-22,18:21:10","2021-06-22,10:44:33"
2021-06-22,"05:48:07","10:39:33","10:49:33","focal","Alex;Other","Alex","Jane","T","TEN_2021-06-22,10:39:33","10:49:33","Foraging - Tree","26 - 50% Visible","TEN","SOCIAL","Play","TIN",0,0,"B55C5181-F1E1-4674-86D8-50107ED445A6","v3.3","v3.9","2021-06-22,05:48:07","2021-06-22,18:21:10","2021-06-22,10:49:33"
