"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","FocalID","BehaviorStart","Actor","Behavior","Recipient","BehaviorType","Involved","Against","Start/End","Part","comment","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","focal_start_timeStamp","focal_end_timeStamp"
2019-09-14,"06:42:22","08:07:16","08:10:05","abort","Evan","Evan","Marie","T","TAN","08:07:34","TAN","Foraging State","TAN",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.2","v3.5","2019-09-14,06:42:22",NA,"2019-09-14,08:07:16","2019-09-14,08:10:05"
2019-09-14,"06:42:22","08:07:16","08:10:05","abort","Evan","Evan","Marie","T","TAN","08:07:57","TAN","Eat","TAN","Animal",NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.2","v3.5","2019-09-14,06:42:22",NA,"2019-09-14,08:07:16","2019-09-14,08:10:05"
2019-09-14,"06:42:22","08:07:16","08:10:05","abort","Evan","Evan","Marie","T","TAN","08:08:17","TAN","Travel State","TAN",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.2","v3.5","2019-09-14,06:42:22",NA,"2019-09-14,08:07:16","2019-09-14,08:10:05"
2019-09-14,"06:42:22","08:38:59","08:46:22","abort","Evan","Evan","Marie","T","TAN","08:39:16","TAN","Foraging State","TAN",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.2","v3.5","2019-09-14,06:42:22",NA,"2019-09-14,08:38:59","2019-09-14,08:46:22"
2019-09-14,"06:42:22","08:38:59","08:46:22","abort","Evan","Evan","Marie","T","TAN","08:39:18","TAN","Drink","TAN",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.2","v3.5","2019-09-14,06:42:22",NA,"2019-09-14,08:38:59","2019-09-14,08:46:22"
2019-09-14,"06:42:22","08:38:59","08:46:22","abort","Evan","Evan","Marie","T","TAN","08:39:24","TAN","Drink","TAN",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.2","v3.5","2019-09-14,06:42:22",NA,"2019-09-14,08:38:59","2019-09-14,08:46:22"
2019-09-14,"06:42:22","08:38:59","08:46:22","abort","Evan","Evan","Marie","T","TAN","08:40:33","TAN","Social State","TAN",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.2","v3.5","2019-09-14,06:42:22",NA,"2019-09-14,08:38:59","2019-09-14,08:46:22"
2019-09-14,"06:42:22","08:38:59","08:46:22","abort","Evan","Evan","Marie","T","TAN","08:40:35","TAN","Play","TAN",NA,NA,NA,"START",NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.2","v3.5","2019-09-14,06:42:22",NA,"2019-09-14,08:38:59","2019-09-14,08:46:22"
2019-09-14,"06:42:22","08:38:59","08:46:22","abort","Evan","Evan","Marie","T","TAN","08:40:49","TAN","Drink","TAN",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.2","v3.5","2019-09-14,06:42:22",NA,"2019-09-14,08:38:59","2019-09-14,08:46:22"
2019-09-14,"06:42:22","08:38:59","08:46:22","abort","Evan","Evan","Marie","T","TAN","08:41:07","TAN","Play","TAN",NA,NA,NA,"END",NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.2","v3.5","2019-09-14,06:42:22",NA,"2019-09-14,08:38:59","2019-09-14,08:46:22"
