"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","UniqueFocalCode","ScanStart","GroupBehavior","GroupVisibility","ScanID","ScanBehavior","ScanBehaviorType","InvolvedID","x_position","y_position","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","scan_timeStamp"
2020-03-04,"11:56:00","17:19:41","17:20:38","abort","Sophia","Sophia","Marie","T","TET_2020-03-04,17:19:41","17:19:41","Socializing","25% or less Visible","TET","SELF-DIRECTED","Grooming",NA,0,0,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-04,11:56:00",NA,"2020-03-04,17:19:41"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM_2020-03-05,11:22:35","11:22:35","Socializing","25% or less Visible","TAM","VIGILANT",NA,NA,0,0,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM_2020-03-05,11:22:35","11:22:35","Socializing","25% or less Visible","TES",NA,NA,NA,1.51525414,-0.050847456,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM_2020-03-05,11:22:35","11:27:35","Socializing","25% or less Visible","TAM",NA,NA,NA,0,0,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:27:35"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM_2020-03-05,11:22:35","11:27:35","Socializing","25% or less Visible","TES",NA,NA,NA,1.667796612,-0.061016947,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:27:35"
2020-01-03,"08:28:05","10:19:45","10:29:45","abort","Alex;Sophia;Evan;Marcela","Evan","Marie","T","TES_2020-01-03,10:19:45","10:19:45","Foraging - Tree","25% or less Visible","TES","TRAVEL","Tree",NA,0,0,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-01-03,08:28:05","2020-01-03,12:55:56","2020-01-03,10:19:45"
2020-01-03,"08:28:05","10:19:45","10:29:45","abort","Alex;Sophia;Evan;Marcela","Evan","Marie","T","TES_2020-01-03,10:19:45","10:19:45","Foraging - Tree","25% or less Visible","THO",NA,NA,NA,0.366101682,0.030508474,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-01-03,08:28:05","2020-01-03,12:55:56","2020-01-03,10:19:45"
2020-01-03,"08:28:05","10:19:45","10:29:45","abort","Alex;Sophia;Evan;Marcela","Evan","Marie","T","TES_2020-01-03,10:19:45","10:24:45","Socializing","26 - 50% Visible","TES","FORAGE","Tree",NA,0,0,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-01-03,08:28:05","2020-01-03,12:55:56","2020-01-03,10:24:45"
2020-01-03,"08:28:05","10:19:45","10:29:45","abort","Alex;Sophia;Evan;Marcela","Evan","Marie","T","TES_2020-01-03,10:19:45","10:29:45","Socializing","26 - 50% Visible","TES",NA,NA,NA,0,0,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-01-03,08:28:05","2020-01-03,12:55:56","2020-01-03,10:29:45"
2020-01-03,"08:28:05","10:19:45","10:29:45","abort","Alex;Sophia;Evan;Marcela","Evan","Marie","T","TES_2020-01-03,10:19:45","10:29:45","Socializing","26 - 50% Visible","TEV",NA,NA,NA,0.254237294,-3.061016798,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-01-03,08:28:05","2020-01-03,12:55:56","2020-01-03,10:29:45"
2020-01-03,"08:28:05","10:19:45","10:29:45","abort","Alex;Sophia;Evan;Marcela","Evan","Marie","T","TES_2020-01-03,10:19:45","10:29:45","Socializing","26 - 50% Visible","TER",NA,NA,NA,-3.294915199,-0.183050841,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-01-03,08:28:05","2020-01-03,12:55:56","2020-01-03,10:29:45"
