"Date","SessionStart","FocalStart","FocalEnd","Type","Observer","Recorder","DeviceName","Group","FocalID","BehaviorStart","Actor","Behavior","Recipient","BehaviorType","Involved","Against","Start/End","Part","comment","device_ID","layout_info_json_version","behaviors_json_version","session_start_timeStamp","session_end_timeStamp","focal_start_timeStamp","focal_end_timeStamp"
2020-03-04,"11:56:00","17:19:41","17:20:38","abort","Sophia","Sophia","Marie","T","TET","17:19:50","TET","Resting State","TET",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-04,11:56:00",NA,"2020-03-04,17:19:41","2020-03-04,17:20:38"
2020-03-04,"11:56:00","17:19:41","17:20:38","abort","Sophia","Sophia","Marie","T","TET","17:19:58","TET","Scratch","TET",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-04,11:56:00",NA,"2020-03-04,17:19:41","2020-03-04,17:20:38"
2020-03-04,"11:56:00","17:19:41","17:20:38","abort","Sophia","Sophia","Marie","T","TET","17:20:07","TET","Scratch","TET",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-04,11:56:00",NA,"2020-03-04,17:19:41","2020-03-04,17:20:38"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:22:53","TAM","Social State","TAM",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:22:56","TAM","Groom","TES",NA,NA,NA,"START",NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:23:00","TAM","Groom","TES",NA,NA,NA,"END",NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:23:06","TAM","Groom","TES",NA,NA,NA,"START",NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:23:17","TAM","Groom","TES",NA,NA,NA,"END",NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:23:21","TAM","Leave","TES",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:23:26","TAM","Foraging State","TAM",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:23:36","TAM","Vigilant","TAM",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:24:01","TES","Approach","TAM",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:24:03","TES","Groom Solicit","TAM",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:24:09","TAM","Ignore","TES",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:24:18","TAM","Travel State","TAM",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:24:29","TAM","Resting State","TAM",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:24:49","TAM","Foraging State","TAM",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:24:55","TAM","Peep","TAM","Alone",NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:25:08","TAM","Drink","TAM",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:25:15","TAM","Peep","TAM","Alone",NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:25:19","TAM","Drink","TAM",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:25:23","TAM","Peep","TAM","Alone",NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:25:43","TAM","Peep","TAM","Alone",NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:25:48","TAM","Peep","TAM","Alone",NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:25:53","TAM","Peep","TAM","Alone",NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:25:57","TAM","Peep","TAM","Alone",NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
2020-03-05,"06:48:10","11:22:35","11:28:37","abort","Sophia;Evan;Kerensa","Sophia;Evan;Kerensa","Marie","T","TAM","11:26:01","TAM","Drink","TAM",NA,NA,NA,NA,NA,NA,"5B7CFADE-EE46-4CEE-8220-7028D06618CE","v3.3","v3.9","2020-03-05,06:48:10",NA,"2020-03-05,11:22:35","2020-03-05,11:28:37"
